
Number of sites: 4

Computing optimal allocation for fragment 0
x = [0, 0, 0, 0], expected cost = 2.4
x = [0, 0, 0, 1], expected cost = 2.4
x = [0, 0, 1, 0], expected cost = 2.0
x = [0, 0, 1, 1], expected cost = 2.0
x = [0, 1, 0, 0], expected cost = 1.9
x = [0, 1, 0, 1], expected cost = 1.9
x = [0, 1, 1, 0], expected cost = 1.5
x = [0, 1, 1, 1], expected cost = 1.5
x = [1, 0, 0, 0], expected cost = 2.1
x = [1, 0, 0, 1], expected cost = 2.1
x = [1, 0, 1, 0], expected cost = 1.7
x = [1, 0, 1, 1], expected cost = 1.7
x = [1, 1, 0, 0], expected cost = 1.6
x = [1, 1, 0, 1], expected cost = 1.6
x = [1, 1, 1, 0], expected cost = 1.2
x = [1, 1, 1, 1], expected cost = 1.2

Computing optimal allocation for fragment 1
x = [0, 0, 0, 0], expected cost = 2.1
x = [0, 0, 0, 1], expected cost = 2.0
x = [0, 0, 1, 0], expected cost = 2.0
x = [0, 0, 1, 1], expected cost = 1.9
x = [0, 1, 0, 0], expected cost = 1.7
x = [0, 1, 0, 1], expected cost = 1.6
x = [0, 1, 1, 0], expected cost = 1.6
x = [0, 1, 1, 1], expected cost = 1.5
x = [1, 0, 0, 0], expected cost = 2.1
x = [1, 0, 0, 1], expected cost = 2.0
x = [1, 0, 1, 0], expected cost = 2.0
x = [1, 0, 1, 1], expected cost = 1.9
x = [1, 1, 0, 0], expected cost = 1.7
x = [1, 1, 0, 1], expected cost = 1.6
x = [1, 1, 1, 0], expected cost = 1.6
x = [1, 1, 1, 1], expected cost = 1.5

Computing optimal allocation for fragment 2
x = [0, 0, 0, 0], expected cost = 2.6
x = [0, 0, 0, 1], expected cost = 2.6
x = [0, 0, 1, 0], expected cost = 2.3
x = [0, 0, 1, 1], expected cost = 2.3
x = [0, 1, 0, 0], expected cost = 2.3
x = [0, 1, 0, 1], expected cost = 2.3
x = [0, 1, 1, 0], expected cost = 2.0
x = [0, 1, 1, 1], expected cost = 2.0
x = [1, 0, 0, 0], expected cost = 2.6
x = [1, 0, 0, 1], expected cost = 2.6
x = [1, 0, 1, 0], expected cost = 2.3
x = [1, 0, 1, 1], expected cost = 2.3
x = [1, 1, 0, 0], expected cost = 2.3
x = [1, 1, 0, 1], expected cost = 2.3
x = [1, 1, 1, 0], expected cost = 2.0
x = [1, 1, 1, 1], expected cost = 2.0
[Finished in 0.084s]
